,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,species_id
0,Adelie,Torgersen,39.1,18.7,181,3750,MALE,1
1,Adelie,Torgersen,39.5,17.4,186,3800,FEMALE,1
2,Adelie,Torgersen,40.3,18,195,3250,FEMALE,1
4,Adelie,Torgersen,36.7,19.3,193,3450,FEMALE,1
5,Adelie,Torgersen,39.3,20.6,190,3650,MALE,1
6,Adelie,Torgersen,38.9,17.8,181,3625,FEMALE,1
7,Adelie,Torgersen,39.2,19.6,195,4675,MALE,1
12,Adelie,Torgersen,41.1,17.6,182,3200,FEMALE,1
13,Adelie,Torgersen,38.6,21.2,191,3800,MALE,1
14,Adelie,Torgersen,34.6,21.1,198,4400,MALE,1
15,Adelie,Torgersen,36.6,17.8,185,3700,FEMALE,1
16,Adelie,Torgersen,38.7,19,195,3450,FEMALE,1
17,Adelie,Torgersen,42.5,20.7,197,4500,MALE,1
18,Adelie,Torgersen,34.4,18.4,184,3325,FEMALE,1
19,Adelie,Torgersen,46,21.5,194,4200,MALE,1
20,Adelie,Biscoe,37.8,18.3,174,3400,FEMALE,1
21,Adelie,Biscoe,37.7,18.7,180,3600,MALE,1
22,Adelie,Biscoe,35.9,19.2,189,3800,FEMALE,1
23,Adelie,Biscoe,38.2,18.1,185,3950,MALE,1
24,Adelie,Biscoe,38.8,17.2,180,3800,MALE,1
25,Adelie,Biscoe,35.3,18.9,187,3800,FEMALE,1
26,Adelie,Biscoe,40.6,18.6,183,3550,MALE,1
27,Adelie,Biscoe,40.5,17.9,187,3200,FEMALE,1
28,Adelie,Biscoe,37.9,18.6,172,3150,FEMALE,1
29,Adelie,Biscoe,40.5,18.9,180,3950,MALE,1
30,Adelie,Dream,39.5,16.7,178,3250,FEMALE,1
31,Adelie,Dream,37.2,18.1,178,3900,MALE,1
32,Adelie,Dream,39.5,17.8,188,3300,FEMALE,1
33,Adelie,Dream,40.9,18.9,184,3900,MALE,1
34,Adelie,Dream,36.4,17,195,3325,FEMALE,1
35,Adelie,Dream,39.2,21.1,196,4150,MALE,1
36,Adelie,Dream,38.8,20,190,3950,MALE,1
37,Adelie,Dream,42.2,18.5,180,3550,FEMALE,1
38,Adelie,Dream,37.6,19.3,181,3300,FEMALE,1
39,Adelie,Dream,39.8,19.1,184,4650,MALE,1
40,Adelie,Dream,36.5,18,182,3150,FEMALE,1
41,Adelie,Dream,40.8,18.4,195,3900,MALE,1
42,Adelie,Dream,36,18.5,186,3100,FEMALE,1
43,Adelie,Dream,44.1,19.7,196,4400,MALE,1
44,Adelie,Dream,37,16.9,185,3000,FEMALE,1
45,Adelie,Dream,39.6,18.8,190,4600,MALE,1
46,Adelie,Dream,41.1,19,182,3425,MALE,1
48,Adelie,Dream,36,17.9,190,3450,FEMALE,1
49,Adelie,Dream,42.3,21.2,191,4150,MALE,1
50,Adelie,Biscoe,39.6,17.7,186,3500,FEMALE,1
51,Adelie,Biscoe,40.1,18.9,188,4300,MALE,1
52,Adelie,Biscoe,35,17.9,190,3450,FEMALE,1
53,Adelie,Biscoe,42,19.5,200,4050,MALE,1
54,Adelie,Biscoe,34.5,18.1,187,2900,FEMALE,1
55,Adelie,Biscoe,41.4,18.6,191,3700,MALE,1
56,Adelie,Biscoe,39,17.5,186,3550,FEMALE,1
57,Adelie,Biscoe,40.6,18.8,193,3800,MALE,1
58,Adelie,Biscoe,36.5,16.6,181,2850,FEMALE,1
59,Adelie,Biscoe,37.6,19.1,194,3750,MALE,1
60,Adelie,Biscoe,35.7,16.9,185,3150,FEMALE,1
61,Adelie,Biscoe,41.3,21.1,195,4400,MALE,1
62,Adelie,Biscoe,37.6,17,185,3600,FEMALE,1
63,Adelie,Biscoe,41.1,18.2,192,4050,MALE,1
64,Adelie,Biscoe,36.4,17.1,184,2850,FEMALE,1
65,Adelie,Biscoe,41.6,18,192,3950,MALE,1
66,Adelie,Biscoe,35.5,16.2,195,3350,FEMALE,1
67,Adelie,Biscoe,41.1,19.1,188,4100,MALE,1
68,Adelie,Torgersen,35.9,16.6,190,3050,FEMALE,1
69,Adelie,Torgersen,41.8,19.4,198,4450,MALE,1
70,Adelie,Torgersen,33.5,19,190,3600,FEMALE,1
71,Adelie,Torgersen,39.7,18.4,190,3900,MALE,1
72,Adelie,Torgersen,39.6,17.2,196,3550,FEMALE,1
73,Adelie,Torgersen,45.8,18.9,197,4150,MALE,1
74,Adelie,Torgersen,35.5,17.5,190,3700,FEMALE,1
75,Adelie,Torgersen,42.8,18.5,195,4250,MALE,1
76,Adelie,Torgersen,40.9,16.8,191,3700,FEMALE,1
77,Adelie,Torgersen,37.2,19.4,184,3900,MALE,1
78,Adelie,Torgersen,36.2,16.1,187,3550,FEMALE,1
79,Adelie,Torgersen,42.1,19.1,195,4000,MALE,1
80,Adelie,Torgersen,34.6,17.2,189,3200,FEMALE,1
81,Adelie,Torgersen,42.9,17.6,196,4700,MALE,1
82,Adelie,Torgersen,36.7,18.8,187,3800,FEMALE,1
83,Adelie,Torgersen,35.1,19.4,193,4200,MALE,1
84,Adelie,Dream,37.3,17.8,191,3350,FEMALE,1
85,Adelie,Dream,41.3,20.3,194,3550,MALE,1
86,Adelie,Dream,36.3,19.5,190,3800,MALE,1
87,Adelie,Dream,36.9,18.6,189,3500,FEMALE,1
88,Adelie,Dream,38.3,19.2,189,3950,MALE,1
89,Adelie,Dream,38.9,18.8,190,3600,FEMALE,1
90,Adelie,Dream,35.7,18,202,3550,FEMALE,1
91,Adelie,Dream,41.1,18.1,205,4300,MALE,1
92,Adelie,Dream,34,17.1,185,3400,FEMALE,1
93,Adelie,Dream,39.6,18.1,186,4450,MALE,1
94,Adelie,Dream,36.2,17.3,187,3300,FEMALE,1
95,Adelie,Dream,40.8,18.9,208,4300,MALE,1
96,Adelie,Dream,38.1,18.6,190,3700,FEMALE,1
97,Adelie,Dream,40.3,18.5,196,4350,MALE,1
98,Adelie,Dream,33.1,16.1,178,2900,FEMALE,1
99,Adelie,Dream,43.2,18.5,192,4100,MALE,1
100,Adelie,Biscoe,35,17.9,192,3725,FEMALE,1
101,Adelie,Biscoe,41,20,203,4725,MALE,1
102,Adelie,Biscoe,37.7,16,183,3075,FEMALE,1
103,Adelie,Biscoe,37.8,20,190,4250,MALE,1
104,Adelie,Biscoe,37.9,18.6,193,2925,FEMALE,1
105,Adelie,Biscoe,39.7,18.9,184,3550,MALE,1
106,Adelie,Biscoe,38.6,17.2,199,3750,FEMALE,1
107,Adelie,Biscoe,38.2,20,190,3900,MALE,1
108,Adelie,Biscoe,38.1,17,181,3175,FEMALE,1
109,Adelie,Biscoe,43.2,19,197,4775,MALE,1
110,Adelie,Biscoe,38.1,16.5,198,3825,FEMALE,1
111,Adelie,Biscoe,45.6,20.3,191,4600,MALE,1
112,Adelie,Biscoe,39.7,17.7,193,3200,FEMALE,1
113,Adelie,Biscoe,42.2,19.5,197,4275,MALE,1
114,Adelie,Biscoe,39.6,20.7,191,3900,FEMALE,1
115,Adelie,Biscoe,42.7,18.3,196,4075,MALE,1
116,Adelie,Torgersen,38.6,17,188,2900,FEMALE,1
117,Adelie,Torgersen,37.3,20.5,199,3775,MALE,1
118,Adelie,Torgersen,35.7,17,189,3350,FEMALE,1
119,Adelie,Torgersen,41.1,18.6,189,3325,MALE,1
120,Adelie,Torgersen,36.2,17.2,187,3150,FEMALE,1
121,Adelie,Torgersen,37.7,19.8,198,3500,MALE,1
122,Adelie,Torgersen,40.2,17,176,3450,FEMALE,1
123,Adelie,Torgersen,41.4,18.5,202,3875,MALE,1
124,Adelie,Torgersen,35.2,15.9,186,3050,FEMALE,1
125,Adelie,Torgersen,40.6,19,199,4000,MALE,1
126,Adelie,Torgersen,38.8,17.6,191,3275,FEMALE,1
127,Adelie,Torgersen,41.5,18.3,195,4300,MALE,1
128,Adelie,Torgersen,39,17.1,191,3050,FEMALE,1
129,Adelie,Torgersen,44.1,18,210,4000,MALE,1
130,Adelie,Torgersen,38.5,17.9,190,3325,FEMALE,1
131,Adelie,Torgersen,43.1,19.2,197,3500,MALE,1
132,Adelie,Dream,36.8,18.5,193,3500,FEMALE,1
133,Adelie,Dream,37.5,18.5,199,4475,MALE,1
134,Adelie,Dream,38.1,17.6,187,3425,FEMALE,1
135,Adelie,Dream,41.1,17.5,190,3900,MALE,1
136,Adelie,Dream,35.6,17.5,191,3175,FEMALE,1
137,Adelie,Dream,40.2,20.1,200,3975,MALE,1
138,Adelie,Dream,37,16.5,185,3400,FEMALE,1
139,Adelie,Dream,39.7,17.9,193,4250,MALE,1
140,Adelie,Dream,40.2,17.1,193,3400,FEMALE,1
141,Adelie,Dream,40.6,17.2,187,3475,MALE,1
142,Adelie,Dream,32.1,15.5,188,3050,FEMALE,1
143,Adelie,Dream,40.7,17,190,3725,MALE,1
144,Adelie,Dream,37.3,16.8,192,3000,FEMALE,1
145,Adelie,Dream,39,18.7,185,3650,MALE,1
146,Adelie,Dream,39.2,18.6,190,4250,MALE,1
147,Adelie,Dream,36.6,18.4,184,3475,FEMALE,1
148,Adelie,Dream,36,17.8,195,3450,FEMALE,1
149,Adelie,Dream,37.8,18.1,193,3750,MALE,1
150,Adelie,Dream,36,17.1,187,3700,FEMALE,1
151,Adelie,Dream,41.5,18.5,201,4000,MALE,1
152,Chinstrap,Dream,46.5,17.9,192,3500,FEMALE,2
153,Chinstrap,Dream,50,19.5,196,3900,MALE,2
154,Chinstrap,Dream,51.3,19.2,193,3650,MALE,2
155,Chinstrap,Dream,45.4,18.7,188,3525,FEMALE,2
156,Chinstrap,Dream,52.7,19.8,197,3725,MALE,2
157,Chinstrap,Dream,45.2,17.8,198,3950,FEMALE,2
158,Chinstrap,Dream,46.1,18.2,178,3250,FEMALE,2
159,Chinstrap,Dream,51.3,18.2,197,3750,MALE,2
160,Chinstrap,Dream,46,18.9,195,4150,FEMALE,2
161,Chinstrap,Dream,51.3,19.9,198,3700,MALE,2
162,Chinstrap,Dream,46.6,17.8,193,3800,FEMALE,2
163,Chinstrap,Dream,51.7,20.3,194,3775,MALE,2
164,Chinstrap,Dream,47,17.3,185,3700,FEMALE,2
